Using options:
0804A954: warning: Unable to resolve imported reference !__gmon_start__.
0806A49B: error: An error occurred while processing the statement dwLoc08_116 = v12_102 - dwArg04 - 0x00000001.
    Pulling difference ptr32 and (union ((ptr (struct (0 T_54945 t0000))) u1) (size_t u0))
      at Reko.Core.Expressions.ExpressionTypeAscenderBase.PullDiffDataType (Reko.Core.Types.DataType dtLeft, Reko.Core.Types.DataType dtRight) <0x40bb8b50 + 0x001ef> in <filename unknown>:0 
  at Reko.Core.Expressions.ExpressionTypeAscenderBase.VisitBinaryExpression (Reko.Core.Expressions.BinaryExpression binExp) <0x40bb8480 + 0x000eb> in <filename unknown>:0 
  at Reko.Core.Expressions.BinaryExpression.Accept[T] (ExpressionVisitor`1 v) <0x40b256e0 + 0x00030> in <filename unknown>:0 
  at Reko.Core.Expressions.ExpressionTypeAscenderBase.VisitBinaryExpression (Reko.Core.Expressions.BinaryExpression binExp) <0x40bb8480 + 0x00044> in <filename unknown>:0 
  at Reko.Core.Expressions.BinaryExpression.Accept[T] (ExpressionVisitor`1 v) <0x40b256e0 + 0x00030> in <filename unknown>:0 
  at Reko.Typing.TypeCollector.VisitAssignment (Reko.Core.Code.Assignment ass) <0x40bd16b0 + 0x00031> in <filename unknown>:0 
  at Reko.Core.Code.Assignment.Accept (InstructionVisitor v) <0x40b63ea0 + 0x00027> in <filename unknown>:0 
  at Reko.Typing.TypeCollector.CollectTypes () <0x40bcb300 + 0x00289> in <filename unknown>:0 
0809630F: error: An error occurred while processing the statement branch strcmp(Mem0[0x081AE8DC:word32], fp - 0x00000140 + (strlen(fp - 0x00000140) - strlen(Mem0[0x081AE8DC:word32]))) != 0x00000000 l0809631D.
    Not handling ptr32 and (union (int32 u1) (ptr32 u0)) yet
      at Reko.Typing.ExpressionTypeDescender.PushSubtrahendDataType (Reko.Core.Types.DataType dtDiff, Reko.Core.Types.DataType dtMin) <0x40bd13b0 + 0x0017b> in <filename unknown>:0 
  at Reko.Typing.ExpressionTypeDescender.VisitBinaryExpression (Reko.Core.Expressions.BinaryExpression binExp, Reko.Core.Types.TypeVariable tv) <0x40bce180 + 0x001b3> in <filename unknown>:0 
  at Reko.Core.Expressions.BinaryExpression.Accept[T,C] (ExpressionVisitor`2 v, Reko.Core.Expressions.C context) <0x40bce0d0 + 0x00031> in <filename unknown>:0 
  at Reko.Typing.ExpressionTypeDescender.VisitApplication (Reko.Core.Expressions.Application appl, Reko.Core.Types.TypeVariable tv) <0x40bcf090 + 0x000ef> in <filename unknown>:0 
  at Reko.Core.Expressions.Application.Accept[T,C] (ExpressionVisitor`2 v, Reko.Core.Expressions.C context) <0x40bcf040 + 0x00031> in <filename unknown>:0 
  at Reko.Typing.ExpressionTypeDescender.VisitBinaryExpression (Reko.Core.Expressions.BinaryExpression binExp, Reko.Core.Types.TypeVariable tv) <0x40bce180 + 0x00c18> in <filename unknown>:0 
  at Reko.Core.Expressions.BinaryExpression.Accept[T,C] (ExpressionVisitor`2 v, Reko.Core.Expressions.C context) <0x40bce0d0 + 0x00031> in <filename unknown>:0 
  at Reko.Typing.ExpressionTypeDescender.VisitBinaryExpression (Reko.Core.Expressions.BinaryExpression binExp, Reko.Core.Types.TypeVariable tv) <0x40bce180 + 0x00c3d> in <filename unknown>:0 
  at Reko.Core.Expressions.BinaryExpression.Accept[T,C] (ExpressionVisitor`2 v, Reko.Core.Expressions.C context) <0x40bce0d0 + 0x00031> in <filename unknown>:0 
  at Reko.Typing.ExpressionTypeDescender.VisitApplication (Reko.Core.Expressions.Application appl, Reko.Core.Types.TypeVariable tv) <0x40bcf090 + 0x000ef> in <filename unknown>:0 
  at Reko.Core.Expressions.Application.Accept[T,C] (ExpressionVisitor`2 v, Reko.Core.Expressions.C context) <0x40bcf040 + 0x00031> in <filename unknown>:0 
  at Reko.Typing.ExpressionTypeDescender.VisitBinaryExpression (Reko.Core.Expressions.BinaryExpression binExp, Reko.Core.Types.TypeVariable tv) <0x40bce180 + 0x00c18> in <filename unknown>:0 
  at Reko.Core.Expressions.BinaryExpression.Accept[T,C] (ExpressionVisitor`2 v, Reko.Core.Expressions.C context) <0x40bce0d0 + 0x00031> in <filename unknown>:0 
  at Reko.Typing.TypeCollector.VisitBranch (Reko.Core.Code.Branch branch) <0x40bce030 + 0x00088> in <filename unknown>:0 
  at Reko.Core.Code.Branch.Accept (InstructionVisitor v) <0x40b65010 + 0x00027> in <filename unknown>:0 
  at Reko.Typing.TypeCollector.CollectTypes () <0x40bcb300 + 0x00289> in <filename unknown>:0 
080985E9: error: An error occurred while processing the statement Mem367[dwLoc1C_1049 - dwLoc18_1060 + 0x00000000:byte] = 0x00.
    Not handling (ptr (struct (0 T_138946 t0000))) and (ptr (struct 0001 (0 byte b0000))) yet
      at Reko.Typing.ExpressionTypeDescender.PushMinuendDataType (Reko.Core.Types.DataType dtDiff, Reko.Core.Types.DataType dtSub) <0x40bd1180 + 0x0014b> in <filename unknown>:0 
  at Reko.Typing.ExpressionTypeDescender.VisitBinaryExpression (Reko.Core.Expressions.BinaryExpression binExp, Reko.Core.Types.TypeVariable tv) <0x40bce180 + 0x00167> in <filename unknown>:0 
  at Reko.Core.Expressions.BinaryExpression.Accept[T,C] (ExpressionVisitor`2 v, Reko.Core.Expressions.C context) <0x40bce0d0 + 0x00031> in <filename unknown>:0 
  at Reko.Typing.ExpressionTypeDescender.VisitMemoryAccess (Reko.Core.Expressions.Expression basePointer, Reko.Core.Types.TypeVariable tvAccess, Reko.Core.Expressions.Expression effectiveAddress, Reko.Core.Expressions.Expression globals) <0x40bcca40 + 0x004a1> in <filename unknown>:0 
  at Reko.Typing.ExpressionTypeDescender.VisitMemoryAccess (Reko.Core.Expressions.MemoryAccess access, Reko.Core.Types.TypeVariable tv) <0x40bcc9f0 + 0x00033> in <filename unknown>:0 
  at Reko.Core.Expressions.MemoryAccess.Accept[T,C] (ExpressionVisitor`2 v, Reko.Core.Expressions.C context) <0x40bcc9a0 + 0x00031> in <filename unknown>:0 
  at Reko.Typing.TypeCollector.VisitStore (Reko.Core.Code.Store store) <0x40bcffb0 + 0x000e8> in <filename unknown>:0 
  at Reko.Core.Code.Store.Accept (InstructionVisitor v) <0x40b64000 + 0x0002a> in <filename unknown>:0 
  at Reko.Typing.TypeCollector.CollectTypes () <0x40bcb300 + 0x00289> in <filename unknown>:0 
080A6691: error: An error occurred while processing the statement LYstrncpy(Mem90[dwLoc14_236 + 0x00000004:word32], dwArg04, eax_71 - dwArg04).
    Pulling difference ui32 and (ptr char)
      at Reko.Core.Expressions.ExpressionTypeAscenderBase.PullDiffDataType (Reko.Core.Types.DataType dtLeft, Reko.Core.Types.DataType dtRight) <0x40bb8b50 + 0x002f7> in <filename unknown>:0 
  at Reko.Core.Expressions.ExpressionTypeAscenderBase.VisitBinaryExpression (Reko.Core.Expressions.BinaryExpression binExp) <0x40bb8480 + 0x000eb> in <filename unknown>:0 
  at Reko.Core.Expressions.BinaryExpression.Accept[T] (ExpressionVisitor`1 v) <0x40b256e0 + 0x00030> in <filename unknown>:0 
  at Reko.Core.Expressions.ExpressionTypeAscenderBase.VisitApplication (Reko.Core.Expressions.Application appl) <0x40bbdf90 + 0x00064> in <filename unknown>:0 
  at Reko.Core.Expressions.Application.Accept[T] (ExpressionVisitor`1 v) <0x40b4eba0 + 0x00033> in <filename unknown>:0 
  at Reko.Typing.TypeCollector.VisitSideEffect (Reko.Core.Code.SideEffect side) <0x40bcef80 + 0x00031> in <filename unknown>:0 
  at Reko.Core.Code.SideEffect.Accept (InstructionVisitor v) <0x40b65d90 + 0x0002a> in <filename unknown>:0 
  at Reko.Typing.TypeCollector.CollectTypes () <0x40bcb300 + 0x00289> in <filename unknown>:0 
080A6700: error: An error occurred while processing the statement Mem198[dwLoc14_236 + 0x00000008:word32] = calloc(dwLoc0C_116 - eax_71, 0x00000001).
    Pulling difference (union ((ptr (struct (0 T_165297 t0000))) u0) (uint32 u1)) and (ptr char)
      at Reko.Core.Expressions.ExpressionTypeAscenderBase.PullDiffDataType (Reko.Core.Types.DataType dtLeft, Reko.Core.Types.DataType dtRight) <0x40bb8b50 + 0x002f7> in <filename unknown>:0 
  at Reko.Core.Expressions.ExpressionTypeAscenderBase.VisitBinaryExpression (Reko.Core.Expressions.BinaryExpression binExp) <0x40bb8480 + 0x000eb> in <filename unknown>:0 
  at Reko.Core.Expressions.BinaryExpression.Accept[T] (ExpressionVisitor`1 v) <0x40b256e0 + 0x00030> in <filename unknown>:0 
  at Reko.Core.Expressions.ExpressionTypeAscenderBase.VisitApplication (Reko.Core.Expressions.Application appl) <0x40bbdf90 + 0x00064> in <filename unknown>:0 
  at Reko.Core.Expressions.Application.Accept[T] (ExpressionVisitor`1 v) <0x40b4eba0 + 0x00033> in <filename unknown>:0 
  at Reko.Typing.TypeCollector.VisitStore (Reko.Core.Code.Store store) <0x40bcffb0 + 0x00031> in <filename unknown>:0 
  at Reko.Core.Code.Store.Accept (InstructionVisitor v) <0x40b64000 + 0x0002a> in <filename unknown>:0 
  at Reko.Typing.TypeCollector.CollectTypes () <0x40bcb300 + 0x00289> in <filename unknown>:0 
080A6743: error: An error occurred while processing the statement LYstrncpy(Mem198[dwLoc14_236 + 0x00000008:word32], eax_71 + 0x00000001, dwLoc0C_116 - (eax_71 + 0x00000001)).
    Pulling difference (union ((ptr (struct (0 T_165297 t0000))) u0) (uint32 u1)) and ptr32
      at Reko.Core.Expressions.ExpressionTypeAscenderBase.PullDiffDataType (Reko.Core.Types.DataType dtLeft, Reko.Core.Types.DataType dtRight) <0x40bb8b50 + 0x002f7> in <filename unknown>:0 
  at Reko.Core.Expressions.ExpressionTypeAscenderBase.VisitBinaryExpression (Reko.Core.Expressions.BinaryExpression binExp) <0x40bb8480 + 0x000eb> in <filename unknown>:0 
  at Reko.Core.Expressions.BinaryExpression.Accept[T] (ExpressionVisitor`1 v) <0x40b256e0 + 0x00030> in <filename unknown>:0 
  at Reko.Core.Expressions.ExpressionTypeAscenderBase.VisitApplication (Reko.Core.Expressions.Application appl) <0x40bbdf90 + 0x00064> in <filename unknown>:0 
  at Reko.Core.Expressions.Application.Accept[T] (ExpressionVisitor`1 v) <0x40b4eba0 + 0x00033> in <filename unknown>:0 
  at Reko.Typing.TypeCollector.VisitSideEffect (Reko.Core.Code.SideEffect side) <0x40bcef80 + 0x00031> in <filename unknown>:0 
  at Reko.Core.Code.SideEffect.Accept (InstructionVisitor v) <0x40b65d90 + 0x0002a> in <filename unknown>:0 
  at Reko.Typing.TypeCollector.CollectTypes () <0x40bcb300 + 0x00289> in <filename unknown>:0 
080D2128: error: An error occurred while processing the statement memcpy(fp - 0x0000020C + strlen(fp - 0x0000020C), 0x0816744B, 0x00000002).
    Not handling ptr32 and (union (int32 u1) (ptr32 u0)) yet
      at Reko.Typing.ExpressionTypeDescender.PushSubtrahendDataType (Reko.Core.Types.DataType dtDiff, Reko.Core.Types.DataType dtMin) <0x40bd13b0 + 0x0017b> in <filename unknown>:0 
  at Reko.Typing.ExpressionTypeDescender.VisitBinaryExpression (Reko.Core.Expressions.BinaryExpression binExp, Reko.Core.Types.TypeVariable tv) <0x40bce180 + 0x001b3> in <filename unknown>:0 
  at Reko.Core.Expressions.BinaryExpression.Accept[T,C] (ExpressionVisitor`2 v, Reko.Core.Expressions.C context) <0x40bce0d0 + 0x00031> in <filename unknown>:0 
  at Reko.Typing.ExpressionTypeDescender.VisitApplication (Reko.Core.Expressions.Application appl, Reko.Core.Types.TypeVariable tv) <0x40bcf090 + 0x000ef> in <filename unknown>:0 
  at Reko.Core.Expressions.Application.Accept[T,C] (ExpressionVisitor`2 v, Reko.Core.Expressions.C context) <0x40bcf040 + 0x00031> in <filename unknown>:0 
  at Reko.Typing.ExpressionTypeDescender.VisitBinaryExpression (Reko.Core.Expressions.BinaryExpression binExp, Reko.Core.Types.TypeVariable tv) <0x40bce180 + 0x00c3d> in <filename unknown>:0 
  at Reko.Core.Expressions.BinaryExpression.Accept[T,C] (ExpressionVisitor`2 v, Reko.Core.Expressions.C context) <0x40bce0d0 + 0x00031> in <filename unknown>:0 
  at Reko.Typing.ExpressionTypeDescender.VisitApplication (Reko.Core.Expressions.Application appl, Reko.Core.Types.TypeVariable tv) <0x40bcf090 + 0x000ef> in <filename unknown>:0 
  at Reko.Core.Expressions.Application.Accept[T,C] (ExpressionVisitor`2 v, Reko.Core.Expressions.C context) <0x40bcf040 + 0x00031> in <filename unknown>:0 
  at Reko.Typing.TypeCollector.VisitSideEffect (Reko.Core.Code.SideEffect side) <0x40bcef80 + 0x0007c> in <filename unknown>:0 
  at Reko.Core.Code.SideEffect.Accept (InstructionVisitor v) <0x40b65d90 + 0x0002a> in <filename unknown>:0 
  at Reko.Typing.TypeCollector.CollectTypes () <0x40bcb300 + 0x00289> in <filename unknown>:0 
080D4084: error: An error occurred while processing the statement Mem116[eax_101 - dwArg04 + 0x00000000:byte] = 0x00.
    Not handling (ptr (struct (0 T_215889 t0000))) and (ptr (struct (0 T_215872 t0000))) yet
      at Reko.Typing.ExpressionTypeDescender.PushMinuendDataType (Reko.Core.Types.DataType dtDiff, Reko.Core.Types.DataType dtSub) <0x40bd1180 + 0x0014b> in <filename unknown>:0 
  at Reko.Typing.ExpressionTypeDescender.VisitBinaryExpression (Reko.Core.Expressions.BinaryExpression binExp, Reko.Core.Types.TypeVariable tv) <0x40bce180 + 0x00167> in <filename unknown>:0 
  at Reko.Core.Expressions.BinaryExpression.Accept[T,C] (ExpressionVisitor`2 v, Reko.Core.Expressions.C context) <0x40bce0d0 + 0x00031> in <filename unknown>:0 
  at Reko.Typing.ExpressionTypeDescender.VisitMemoryAccess (Reko.Core.Expressions.Expression basePointer, Reko.Core.Types.TypeVariable tvAccess, Reko.Core.Expressions.Expression effectiveAddress, Reko.Core.Expressions.Expression globals) <0x40bcca40 + 0x004a1> in <filename unknown>:0 
  at Reko.Typing.ExpressionTypeDescender.VisitMemoryAccess (Reko.Core.Expressions.MemoryAccess access, Reko.Core.Types.TypeVariable tv) <0x40bcc9f0 + 0x00033> in <filename unknown>:0 
  at Reko.Core.Expressions.MemoryAccess.Accept[T,C] (ExpressionVisitor`2 v, Reko.Core.Expressions.C context) <0x40bcc9a0 + 0x00031> in <filename unknown>:0 
  at Reko.Typing.TypeCollector.VisitStore (Reko.Core.Code.Store store) <0x40bcffb0 + 0x000e8> in <filename unknown>:0 
  at Reko.Core.Code.Store.Accept (InstructionVisitor v) <0x40b64000 + 0x0002a> in <filename unknown>:0 
  at Reko.Typing.TypeCollector.CollectTypes () <0x40bcb300 + 0x00289> in <filename unknown>:0 
080D4006: error: An error occurred while processing the statement Mem57[eax_38 - dwArg04 - 0x00000002 + 0x00000000:byte] = 0x00.
    Not handling (ptr (struct (0 T_215905 t0000))) and (union (ui32 u0) (ptr32 u1)) yet
      at Reko.Typing.ExpressionTypeDescender.PushSubtrahendDataType (Reko.Core.Types.DataType dtDiff, Reko.Core.Types.DataType dtMin) <0x40bd13b0 + 0x0017b> in <filename unknown>:0 
  at Reko.Typing.ExpressionTypeDescender.VisitBinaryExpression (Reko.Core.Expressions.BinaryExpression binExp, Reko.Core.Types.TypeVariable tv) <0x40bce180 + 0x001b3> in <filename unknown>:0 
  at Reko.Core.Expressions.BinaryExpression.Accept[T,C] (ExpressionVisitor`2 v, Reko.Core.Expressions.C context) <0x40bce0d0 + 0x00031> in <filename unknown>:0 
  at Reko.Typing.ExpressionTypeDescender.VisitMemoryAccess (Reko.Core.Expressions.Expression basePointer, Reko.Core.Types.TypeVariable tvAccess, Reko.Core.Expressions.Expression effectiveAddress, Reko.Core.Expressions.Expression globals) <0x40bcca40 + 0x004a1> in <filename unknown>:0 
  at Reko.Typing.ExpressionTypeDescender.VisitMemoryAccess (Reko.Core.Expressions.MemoryAccess access, Reko.Core.Types.TypeVariable tv) <0x40bcc9f0 + 0x00033> in <filename unknown>:0 
  at Reko.Core.Expressions.MemoryAccess.Accept[T,C] (ExpressionVisitor`2 v, Reko.Core.Expressions.C context) <0x40bcc9a0 + 0x00031> in <filename unknown>:0 
  at Reko.Typing.TypeCollector.VisitStore (Reko.Core.Code.Store store) <0x40bcffb0 + 0x000e8> in <filename unknown>:0 
  at Reko.Core.Code.Store.Accept (InstructionVisitor v) <0x40b64000 + 0x0002a> in <filename unknown>:0 
  at Reko.Typing.TypeCollector.CollectTypes () <0x40bcb300 + 0x00289> in <filename unknown>:0 
080F3711: error: An error occurred while processing the statement word32 dwLoc10_102 = Mem0[dwArg04 * 0x00000040 - dwArg04 * 0x00000004 + 0x081B214C:word32].
    Not handling (ptr (struct (81B214C T_275552 t81B214C))) and (union (ui32 u0) (ptr32 u1)) yet
      at Reko.Typing.ExpressionTypeDescender.PushSubtrahendDataType (Reko.Core.Types.DataType dtDiff, Reko.Core.Types.DataType dtMin) <0x40bd13b0 + 0x0017b> in <filename unknown>:0 
  at Reko.Typing.ExpressionTypeDescender.VisitBinaryExpression (Reko.Core.Expressions.BinaryExpression binExp, Reko.Core.Types.TypeVariable tv) <0x40bce180 + 0x001b3> in <filename unknown>:0 
  at Reko.Core.Expressions.BinaryExpression.Accept[T,C] (ExpressionVisitor`2 v, Reko.Core.Expressions.C context) <0x40bce0d0 + 0x00031> in <filename unknown>:0 
  at Reko.Typing.ExpressionTypeDescender.VisitMemoryAccess (Reko.Core.Expressions.Expression basePointer, Reko.Core.Types.TypeVariable tvAccess, Reko.Core.Expressions.Expression effectiveAddress, Reko.Core.Expressions.Expression globals) <0x40bcca40 + 0x004a1> in <filename unknown>:0 
  at Reko.Typing.ExpressionTypeDescender.VisitMemoryAccess (Reko.Core.Expressions.MemoryAccess access, Reko.Core.Types.TypeVariable tv) <0x40bcc9f0 + 0x00033> in <filename unknown>:0 
  at Reko.Core.Expressions.MemoryAccess.Accept[T,C] (ExpressionVisitor`2 v, Reko.Core.Expressions.C context) <0x40bcc9a0 + 0x00031> in <filename unknown>:0 
  at Reko.Typing.TypeCollector.VisitDeclaration (Reko.Core.Code.Declaration decl) <0x40bcc5e0 + 0x00098> in <filename unknown>:0 
  at Reko.Core.Code.Declaration.Accept (InstructionVisitor v) <0x40bc0ac0 + 0x00027> in <filename unknown>:0 
  at Reko.Typing.TypeCollector.CollectTypes () <0x40bcb300 + 0x00289> in <filename unknown>:0 
080F373D: error: An error occurred while processing the statement word32 eax_97 = (word32) (byte) (word32) Mem0[Mem0[dwArg04 * 0x00000040 - dwArg04 * 0x00000004 + 0x081B2148:word32] + dwLoc08_108:byte].
    Not handling (ptr (struct (81B2148 T_275578 t81B2148))) and (union (ui32 u0) (ptr32 u1)) yet
      at Reko.Typing.ExpressionTypeDescender.PushSubtrahendDataType (Reko.Core.Types.DataType dtDiff, Reko.Core.Types.DataType dtMin) <0x40bd13b0 + 0x0017b> in <filename unknown>:0 
  at Reko.Typing.ExpressionTypeDescender.VisitBinaryExpression (Reko.Core.Expressions.BinaryExpression binExp, Reko.Core.Types.TypeVariable tv) <0x40bce180 + 0x001b3> in <filename unknown>:0 
  at Reko.Core.Expressions.BinaryExpression.Accept[T,C] (ExpressionVisitor`2 v, Reko.Core.Expressions.C context) <0x40bce0d0 + 0x00031> in <filename unknown>:0 
  at Reko.Typing.ExpressionTypeDescender.VisitMemoryAccess (Reko.Core.Expressions.Expression basePointer, Reko.Core.Types.TypeVariable tvAccess, Reko.Core.Expressions.Expression effectiveAddress, Reko.Core.Expressions.Expression globals) <0x40bcca40 + 0x004a1> in <filename unknown>:0 
  at Reko.Typing.ExpressionTypeDescender.VisitMemoryAccess (Reko.Core.Expressions.MemoryAccess access, Reko.Core.Types.TypeVariable tv) <0x40bcc9f0 + 0x00033> in <filename unknown>:0 
  at Reko.Core.Expressions.MemoryAccess.Accept[T,C] (ExpressionVisitor`2 v, Reko.Core.Expressions.C context) <0x40bcc9a0 + 0x00031> in <filename unknown>:0 
  at Reko.Typing.ExpressionTypeDescender.VisitMemoryAccess (Reko.Core.Expressions.Expression basePointer, Reko.Core.Types.TypeVariable tvAccess, Reko.Core.Expressions.Expression effectiveAddress, Reko.Core.Expressions.Expression globals) <0x40bcca40 + 0x004a1> in <filename unknown>:0 
  at Reko.Typing.ExpressionTypeDescender.VisitMemoryAccess (Reko.Core.Expressions.Expression basePointer, Reko.Core.Types.TypeVariable tvAccess, Reko.Core.Expressions.Expression effectiveAddress, Reko.Core.Expressions.Expression globals) <0x40bcca40 + 0x0041b> in <filename unknown>:0 
  at Reko.Typing.ExpressionTypeDescender.VisitMemoryAccess (Reko.Core.Expressions.MemoryAccess access, Reko.Core.Types.TypeVariable tv) <0x40bcc9f0 + 0x00033> in <filename unknown>:0 
  at Reko.Core.Expressions.MemoryAccess.Accept[T,C] (ExpressionVisitor`2 v, Reko.Core.Expressions.C context) <0x40bcc9a0 + 0x00031> in <filename unknown>:0 
  at Reko.Typing.ExpressionTypeDescender.VisitCast (Reko.Core.Expressions.Cast cast, Reko.Core.Types.TypeVariable tv) <0x40bd1050 + 0x00057> in <filename unknown>:0 
  at Reko.Core.Expressions.Cast.Accept[T,C] (ExpressionVisitor`2 v, Reko.Core.Expressions.C context) <0x40bd1000 + 0x00031> in <filename unknown>:0 
  at Reko.Typing.ExpressionTypeDescender.VisitCast (Reko.Core.Expressions.Cast cast, Reko.Core.Types.TypeVariable tv) <0x40bd1050 + 0x00057> in <filename unknown>:0 
  at Reko.Core.Expressions.Cast.Accept[T,C] (ExpressionVisitor`2 v, Reko.Core.Expressions.C context) <0x40bd1000 + 0x00031> in <filename unknown>:0 
  at Reko.Typing.ExpressionTypeDescender.VisitCast (Reko.Core.Expressions.Cast cast, Reko.Core.Types.TypeVariable tv) <0x40bd1050 + 0x00057> in <filename unknown>:0 
  at Reko.Core.Expressions.Cast.Accept[T,C] (ExpressionVisitor`2 v, Reko.Core.Expressions.C context) <0x40bd1000 + 0x00031> in <filename unknown>:0 
  at Reko.Typing.TypeCollector.VisitDeclaration (Reko.Core.Code.Declaration decl) <0x40bcc5e0 + 0x00098> in <filename unknown>:0 
  at Reko.Core.Code.Declaration.Accept (InstructionVisitor v) <0x40bc0ac0 + 0x00027> in <filename unknown>:0 
  at Reko.Typing.TypeCollector.CollectTypes () <0x40bcb300 + 0x00289> in <filename unknown>:0 
080F3E1D: error: An error occurred while processing the statement word32 eax_66 = Mem0[dwArg04 * 0x00000040 - dwArg04 * 0x00000004 + 0x081B214C:word32].
    Not handling (ptr (struct (81B214C T_276095 t81B214C))) and (union (ui32 u0) (ptr32 u1)) yet
      at Reko.Typing.ExpressionTypeDescender.PushSubtrahendDataType (Reko.Core.Types.DataType dtDiff, Reko.Core.Types.DataType dtMin) <0x40bd13b0 + 0x0017b> in <filename unknown>:0 
  at Reko.Typing.ExpressionTypeDescender.VisitBinaryExpression (Reko.Core.Expressions.BinaryExpression binExp, Reko.Core.Types.TypeVariable tv) <0x40bce180 + 0x001b3> in <filename unknown>:0 
  at Reko.Core.Expressions.BinaryExpression.Accept[T,C] (ExpressionVisitor`2 v, Reko.Core.Expressions.C context) <0x40bce0d0 + 0x00031> in <filename unknown>:0 
  at Reko.Typing.ExpressionTypeDescender.VisitMemoryAccess (Reko.Core.Expressions.Expression basePointer, Reko.Core.Types.TypeVariable tvAccess, Reko.Core.Expressions.Expression effectiveAddress, Reko.Core.Expressions.Expression globals) <0x40bcca40 + 0x004a1> in <filename unknown>:0 
  at Reko.Typing.ExpressionTypeDescender.VisitMemoryAccess (Reko.Core.Expressions.MemoryAccess access, Reko.Core.Types.TypeVariable tv) <0x40bcc9f0 + 0x00033> in <filename unknown>:0 
  at Reko.Core.Expressions.MemoryAccess.Accept[T,C] (ExpressionVisitor`2 v, Reko.Core.Expressions.C context) <0x40bcc9a0 + 0x00031> in <filename unknown>:0 
  at Reko.Typing.TypeCollector.VisitDeclaration (Reko.Core.Code.Declaration decl) <0x40bcc5e0 + 0x00098> in <filename unknown>:0 
  at Reko.Core.Code.Declaration.Accept (InstructionVisitor v) <0x40bc0ac0 + 0x00027> in <filename unknown>:0 
  at Reko.Typing.TypeCollector.CollectTypes () <0x40bcb300 + 0x00289> in <filename unknown>:0 
080F3E7B: error: An error occurred while processing the statement word32 dwLoc0C_124 = (word32) (byte) (word32) Mem75[Mem75[dwArg04 * 0x00000040 - dwArg04 * 0x00000004 + 0x081B2148:word32] + dwLoc08_136:byte].
    Not handling (ptr (struct (81B2148 T_276131 t81B2148))) and (union (ui32 u0) (ptr32 u1)) yet
      at Reko.Typing.ExpressionTypeDescender.PushSubtrahendDataType (Reko.Core.Types.DataType dtDiff, Reko.Core.Types.DataType dtMin) <0x40bd13b0 + 0x0017b> in <filename unknown>:0 
  at Reko.Typing.ExpressionTypeDescender.VisitBinaryExpression (Reko.Core.Expressions.BinaryExpression binExp, Reko.Core.Types.TypeVariable tv) <0x40bce180 + 0x001b3> in <filename unknown>:0 
  at Reko.Core.Expressions.BinaryExpression.Accept[T,C] (ExpressionVisitor`2 v, Reko.Core.Expressions.C context) <0x40bce0d0 + 0x00031> in <filename unknown>:0 
  at Reko.Typing.ExpressionTypeDescender.VisitMemoryAccess (Reko.Core.Expressions.Expression basePointer, Reko.Core.Types.TypeVariable tvAccess, Reko.Core.Expressions.Expression effectiveAddress, Reko.Core.Expressions.Expression globals) <0x40bcca40 + 0x004a1> in <filename unknown>:0 
  at Reko.Typing.ExpressionTypeDescender.VisitMemoryAccess (Reko.Core.Expressions.MemoryAccess access, Reko.Core.Types.TypeVariable tv) <0x40bcc9f0 + 0x00033> in <filename unknown>:0 
  at Reko.Core.Expressions.MemoryAccess.Accept[T,C] (ExpressionVisitor`2 v, Reko.Core.Expressions.C context) <0x40bcc9a0 + 0x00031> in <filename unknown>:0 
  at Reko.Typing.ExpressionTypeDescender.VisitMemoryAccess (Reko.Core.Expressions.Expression basePointer, Reko.Core.Types.TypeVariable tvAccess, Reko.Core.Expressions.Expression effectiveAddress, Reko.Core.Expressions.Expression globals) <0x40bcca40 + 0x004a1> in <filename unknown>:0 
  at Reko.Typing.ExpressionTypeDescender.VisitMemoryAccess (Reko.Core.Expressions.Expression basePointer, Reko.Core.Types.TypeVariable tvAccess, Reko.Core.Expressions.Expression effectiveAddress, Reko.Core.Expressions.Expression globals) <0x40bcca40 + 0x0041b> in <filename unknown>:0 
  at Reko.Typing.ExpressionTypeDescender.VisitMemoryAccess (Reko.Core.Expressions.MemoryAccess access, Reko.Core.Types.TypeVariable tv) <0x40bcc9f0 + 0x00033> in <filename unknown>:0 
  at Reko.Core.Expressions.MemoryAccess.Accept[T,C] (ExpressionVisitor`2 v, Reko.Core.Expressions.C context) <0x40bcc9a0 + 0x00031> in <filename unknown>:0 
  at Reko.Typing.ExpressionTypeDescender.VisitCast (Reko.Core.Expressions.Cast cast, Reko.Core.Types.TypeVariable tv) <0x40bd1050 + 0x00057> in <filename unknown>:0 
  at Reko.Core.Expressions.Cast.Accept[T,C] (ExpressionVisitor`2 v, Reko.Core.Expressions.C context) <0x40bd1000 + 0x00031> in <filename unknown>:0 
  at Reko.Typing.ExpressionTypeDescender.VisitCast (Reko.Core.Expressions.Cast cast, Reko.Core.Types.TypeVariable tv) <0x40bd1050 + 0x00057> in <filename unknown>:0 
  at Reko.Core.Expressions.Cast.Accept[T,C] (ExpressionVisitor`2 v, Reko.Core.Expressions.C context) <0x40bd1000 + 0x00031> in <filename unknown>:0 
  at Reko.Typing.ExpressionTypeDescender.VisitCast (Reko.Core.Expressions.Cast cast, Reko.Core.Types.TypeVariable tv) <0x40bd1050 + 0x00057> in <filename unknown>:0 
  at Reko.Core.Expressions.Cast.Accept[T,C] (ExpressionVisitor`2 v, Reko.Core.Expressions.C context) <0x40bd1000 + 0x00031> in <filename unknown>:0 
